statistischer_Bezirk_Name,statistischer_Bezirk_Nr,31.12.2006,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015,31.12.2016,31.12.2017
Jena (gesamt),0,56501,57901,58949,59946,60504,60840,59612,59910,60068,60427,61012,
Ammerbach Ort,11,195,195,197,190,194,199,198,200,209,209,205,
Beutenberg / Winzerlaer Straße,12,1230,1304,1306,1334,1336,1356,1374,1380,1370,1392,1388,
Burgau Ort,21,200,203,206,201,209,207,209,214,245,267,282,
Ringwiese Flur Burgau,22,402,404,412,405,410,406,398,408,402,397,403,
Göschwitz,30,255,258,269,274,271,271,281,281,284,292,291,
Jena-Zentrum,41,3169,3316,3425,3542,3612,3646,3453,3523,3517,3560,3639,
Jena-West,42,5127,5258,5387,5480,5502,5547,5315,5309,5268,5302,5340,
Jena-Nord,43,5872,6016,6125,6232,6301,6345,6174,6180,6150,6176,6185,
Jena-Süd,44,4470,4627,4740,4898,5014,5132,4980,5047,5062,5093,5229,
Lichtenhain Ort,51,258,262,257,262,267,269,279,280,291,313,308,
Mühlenstraße,52,687,708,741,756,781,779,764,769,746,742,774,
Lobeda-Altstadt,61,747,763,757,756,777,773,770,774,799,796,802,
Lobeda-West,62,5218,5349,5401,5484,5513,5574,5386,5416,5532,5525,5623,
Lobeda-Ost,63,3604,3650,3704,3779,3768,3781,3642,3653,3646,3676,3697,
Löbstedt Ort,71,242,228,229,231,240,242,239,232,227,252,252,
Nord II,72,2850,2868,3005,3044,3084,3089,3095,3125,3191,3177,3262,
Wenigenjena / Kernberge,81,992,1023,1052,1065,1091,1086,1111,1116,1108,1107,1108,
Wenigenjena Ort,82,3097,3174,3197,3260,3274,3249,3206,3237,3235,3266,3269,
Wenigenjena / Schlegelsberg,83,2722,2738,2761,2824,2869,2851,2823,2835,2832,2865,2885,
Winzerla,90,6597,6729,6770,6772,6756,6722,6646,6617,6566,6550,6483,
Wöllnitz,100,261,255,261,263,262,261,270,271,270,275,272,
Ziegenhain Ort,111,179,178,177,183,185,186,188,187,188,187,189,
Ziegenhainer Tal,112,1063,1099,1123,1132,1135,1131,1128,1115,1126,1131,1132,
Zwätzen,120,1037,1068,1092,1104,1145,1183,1167,1176,1206,1255,1339,
Drackendorf / Lobeda-Ost,131,3356,3494,3547,3629,3622,3615,3538,3577,3577,3571,3554,
Drackendorf,132,300,310,325,328,347,355,348,354,353,355,365,
Ilmnitz,133,108,118,130,139,151,164,185,185,192,193,206,
Maua,141,154,151,152,153,145,148,154,149,153,154,161,
Leutra,142,49,51,55,53,52,51,55,54,56,57,57,
Münchenroda,151,106,114,112,113,113,121,123,126,128,127,140,
Remderoda,152,26,22,22,25,23,23,22,23,21,22,22,
Krippendorf,161,45,44,41,42,43,46,46,45,47,52,54,
Vierzehnheiligen,162,41,41,41,42,44,45,44,43,42,42,45,
Isserstedt,170,346,351,354,357,347,348,347,356,356,359,357,
Cospeda,181,570,591,621,633,652,664,658,651,661,679,684,
Lützeroda,182,65,65,64,63,65,63,69,70,73,73,74,
Closewitz,183,58,60,59,58,60,60,59,58,62,62,61,
Kunitz,191,288,304,310,316,322,330,339,342,336,327,329,
Laasan,192,22,22,22,21,22,24,24,23,24,26,26,
Jenaprießnitz,201,162,159,166,166,163,156,161,160,165,170,171,
Wogau,202,331,331,334,337,337,342,344,349,352,353,349,
außerhalb / sonstiges / nicht zugeordnet,999,0,0,0,0,0,0,0,0,0,0,0,
